family,depth,width,residual,learning_rate,activation,gamma_scale,val_loss,val_accuracy,val_f1,best_epoch,epochs_run,status,seconds
dense,7,13,True,0.01,tanh,1.0,0.14613590746706934,0.9642857142857143,0.9658994032395567,249,250,ok,0.3394924579999996
dense,7,13,True,0.01,relu,1.0,0.1624319296754648,0.9642857142857143,0.9658994032395567,11,51,ok,0.06426508300000044
dense,7,26,True,0.003,tanh,1.0,0.04321127281674731,0.9642857142857143,0.9658994032395567,247,250,ok,0.40602520899999917
dense,7,26,True,0.003,relu,1.0,0.14296960164159558,0.9285714285714286,0.9305555555555555,8,48,ok,0.06800395799999848
dense,7,26,True,0.01,tanh,1.0,0.02293093339644265,1.0,1.0,250,250,ok,0.4079520409999997
dense,7,26,True,0.01,relu,1.0,0.007017943738802902,1.0,1.0,20,60,ok,0.0850167079999995
rbf,3,13,False,0.003,tanh,0.5,0.6568649957139144,1.0,1.0,214,250,ok,0.18391941700000025
rbf,3,13,False,0.003,tanh,2.0,0.5979704908640875,1.0,1.0,150,190,ok,0.13886325
rbf,3,13,False,0.01,tanh,0.5,0.6529320673926561,1.0,1.0,104,144,ok,0.1041946669999998
rbf,3,13,False,0.01,tanh,2.0,0.5979267724623641,1.0,1.0,59,99,ok,0.0715862499999993
rbf,3,26,False,0.003,tanh,0.5,0.6645004491407523,1.0,1.0,244,250,ok,0.2707705419999993
rbf,3,26,False,0.003,tanh,2.0,0.5940593691947259,1.0,1.0,214,250,ok,0.2663746670000009
rbf,3,26,False,0.01,tanh,0.5,0.6580874760675911,1.0,1.0,104,144,ok,0.15336141600000097
rbf,3,26,False,0.01,tanh,2.0,0.5933169391435064,1.0,1.0,59,99,ok,0.10561304199999988
rbf,3,13,True,0.003,tanh,0.5,0.6697217874966592,1.0,1.0,214,250,ok,0.1832482500000001
rbf,3,13,True,0.003,tanh,2.0,0.6016185773874902,1.0,1.0,150,190,ok,0.14270325000000028
rbf,3,13,True,0.01,tanh,0.5,0.6670747270501146,1.0,1.0,93,133,ok,0.09860462500000011
rbf,3,13,True,0.01,tanh,2.0,0.6010402052961438,1.0,1.0,46,86,ok,0.06301912500000029
rbf,3,26,True,0.003,tanh,0.5,0.6623613968958263,1.0,1.0,250,250,ok,0.2688229170000014
rbf,3,26,True,0.003,tanh,2.0,0.605853673200853,1.0,1.0,245,250,ok,0.2751370420000008
rbf,3,26,True,0.01,tanh,0.5,0.6507225487283156,1.0,1.0,198,238,ok,0.26407670799999927
rbf,3,26,True,0.01,tanh,2.0,0.6009631241134147,1.0,1.0,244,250,ok,0.28067683399999943
rbf,5,13,False,0.003,tanh,0.5,0.6356136285962336,1.0,1.0,239,250,ok,0.2870305420000001
rbf,5,13,False,0.003,tanh,2.0,0.5578597978158414,1.0,1.0,245,250,ok,0.2893319160000001
rbf,5,13,False,0.01,tanh,0.5,0.6323737279283418,1.0,1.0,131,171,ok,0.19809283300000047
rbf,5,13,False,0.01,tanh,2.0,0.5565530332715415,1.0,1.0,121,161,ok,0.19385379199999875
rbf,5,26,False,0.003,tanh,0.5,0.6168466478276243,1.0,1.0,239,250,ok,0.49826641699999996
rbf,5,26,False,0.003,tanh,2.0,0.5642474836991485,1.0,1.0,230,250,ok,0.4720770000000005
rbf,5,26,False,0.01,tanh,0.5,0.6124140523025912,1.0,1.0,131,171,ok,0.3311469589999998
rbf,5,26,False,0.01,tanh,2.0,0.5613244463130703,1.0,1.0,125,165,ok,0.3283187499999993
rbf,5,13,True,0.003,tanh,0.5,0.6159385957262357,1.0,1.0,249,250,ok,0.3033150409999994
rbf,5,13,True,0.003,tanh,2.0,0.5692424877752774,1.0,1.0,239,250,ok,0.30433087500000156
rbf,5,13,True,0.01,tanh,0.5,0.6058649392336278,1.0,1.0,214,250,ok,0.30171066700000004
rbf,5,13,True,0.01,tanh,2.0,0.5691870526103587,1.0,1.0,78,118,ok,0.14322024999999883
rbf,5,26,True,0.003,tanh,0.5,0.6206977691963551,1.0,1.0,241,250,ok,0.504642875
rbf,5,26,True,0.003,tanh,2.0,0.5800972237107919,1.0,1.0,239,250,ok,0.5057793749999995
rbf,5,26,True,0.01,tanh,0.5,0.6113510318051442,1.0,1.0,130,170,ok,0.33453666700000184
rbf,5,26,True,0.01,tanh,2.0,0.5766288022294542,1.0,1.0,93,133,ok,0.3895381670000013
rbf,7,13,False,0.003,tanh,0.5,0.6474322755281301,1.0,1.0,250,250,ok,0.5424103749999993
rbf,7,13,False,0.003,tanh,2.0,0.5865250844570585,0.9642857142857143,0.9645191409897292,20,60,ok,0.09392716700000037
rbf,7,13,False,0.01,tanh,0.5,0.6398422229683475,1.0,1.0,195,235,ok,0.3797482499999987
rbf,7,13,False,0.01,tanh,2.0,0.5767683694754264,1.0,1.0,4,44,ok,0.08112520799999956
rbf,7,26,False,0.003,tanh,0.5,0.614440708611707,1.0,1.0,230,250,ok,0.7459387080000006
rbf,7,26,False,0.003,tanh,2.0,0.5774671096372893,1.0,1.0,8,48,ok,0.14268337500000072
rbf,7,26,False,0.01,tanh,0.5,0.6106591539849328,1.0,1.0,129,169,ok,0.4834018329999985
rbf,7,26,False,0.01,tanh,2.0,0.58560104624042,1.0,1.0,2,42,ok,0.11821695799999787
rbf,7,13,True,0.003,tanh,0.5,0.6205008363306986,1.0,1.0,240,250,ok,0.4020995419999984
rbf,7,13,True,0.003,tanh,2.0,0.5652509659587567,1.0,1.0,196,236,ok,0.3769823340000009
rbf,7,13,True,0.01,tanh,0.5,0.6124294571156667,0.9642857142857143,0.9665831244778613,130,170,ok,0.26656533299999907
rbf,7,13,True,0.01,tanh,2.0,0.5653961746542407,1.0,1.0,61,101,ok,0.15779537499999918
rbf,7,26,True,0.003,tanh,0.5,0.631600927117044,0.9642857142857143,0.9645191409897292,245,250,ok,0.6978524589999999
rbf,7,26,True,0.003,tanh,2.0,0.5673475205696781,1.0,1.0,230,250,ok,0.7048044159999982
rbf,7,26,True,0.01,tanh,0.5,0.6183227418758385,0.9642857142857143,0.9665831244778613,141,181,ok,0.540594875
rbf,7,26,True,0.01,tanh,2.0,0.5648780170757182,1.0,1.0,94,134,ok,0.3814227499999987
mixed,3,13,False,0.003,tanh,0.5,0.05444135191212957,0.9642857142857143,0.9665831244778613,202,242,ok,0.19882624999999976
mixed,3,13,False,0.003,tanh,2.0,0.03015077675428406,1.0,1.0,202,242,ok,0.1953461670000003
mixed,3,13,False,0.01,tanh,0.5,0.05572932230636896,0.9642857142857143,0.9665831244778613,68,108,ok,0.0833473340000026
